Function	Function2	Gene Name	kon_ESC_C57	koff_ESC_C57	freq_ESC_C57	Mean Expression_ESC_C57	Entropy_ESC_C57	kon_ESC_CAST	koff_ESC_CAST	freq_ESC_CAST	Mean Expression_ESC_CAST	Entropy_ESC_CAST	kon_MAF_C57	koff_MAF_C57	freq_MAF_C57	Mean Expression_MAF_C57	Entropy_MAF_C57	kon_MAF_CAST	koff_MAF_CAST	freq_MAF_CAST	Mean Expression_MAF_CAST	Entropy_MAF_CAST
Alveolar	Alveolar	Foxp1	0.56924606	10.97031073	0.56924606	0.59	0.777823241	NA	NA	NA	NA	NA	0.91671253	131.2852671	0.91671253	2.13	0.620364742	1.41706584	276.5531251	1.41706584	4.07	0.512085994
Alveolar	Alveolar	Zfp664	0.95117962	171.7510851	0.95117962	1.45	0.640425532	0.66138417	2.32911046	0.66138417	2.27	0.597206817	0.534150177	287.693175	0.56085769	1.15	0.728108864	0.70585361	46.99014417	0.70585361	1.84	0.656117397
Alveolar	Alveolar	Srebf2	0.3645181	0.68429826	0.3645181	2.79	0.760535347	0.12854755	0.32860462	0.12854755	1.22	0.84543179	0.16822589	1.10682089	0.16822589	0.98	0.903383028	0.15008697	2.91886997	0.15008697	0.68	0.931488095
Alveolar	Alveolar	Xbp1	1.00844045	7.9040557	1.00844045	1.71	0.592867657	1.09836425	4.48455493	1.09836425	1.46	0.587609512	1.4227651	14.03768658	1.56504161	3.99	0.493731861	0.96798157	2.4778238	0.96798157	4.19	0.495160887
Alveolar	Alveolar	Vdr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.29145514	3.45338061	0.29145514	1.46	0.771198338	0.32124362	13.72241313	0.32124362	1.85	0.767225718
Germ	Germ	Gata2	0.04100526	1.66216282	0.04100526	0.37	0.956346295	0.04386495	1.13237226	0.04386495	0.57	0.942940039	0.18359171	4.30473759	0.18359171	0.71	0.893344156	0.07647359	1.15953186	0.07647359	0.45	0.933294513
Germ	Germ	Smc3	2.11146621	5.59405992	2.11146621	11.29	0.355379939	1.85132461	7.09558503	1.85132461	10.99	0.382937086	0.42884064	27.03241315	0.38595657	2.36	0.74061172	0.3278236	1.15484263	0.3278236	2.21	0.721149689
Germ	Germ	E2f4	0.79256638	0.9885974	0.79256638	2.25	0.52209888	1.43611373	6.30910334	1.43611373	2.38	0.519333528	0.64566211	55.78416074	0.64566211	1.22	0.714546276	0.84651627	183.6973118	0.84651627	1.43	0.67052377
Germ	Germ	Zscan12	0.43490217	3.87187005	0.43490217	0.68	0.79516441	NA	NA	NA	NA	NA	0.27273342	8.34122835	0.27273342	0.39	0.861496914	0.18652285	55.65765463	0.19584899	0.27	0.905925325
Germ	Germ	Gtf2ird1	1.33572717	32.5160083	1.40251353	2.36	0.573036007	0.850438249	514.524075	0.89296016	1.51	0.656569758	0.72324828	18.15916061	0.72324828	0.99	0.713169643	0.245220657	90.0163917	0.25748169	0.76	0.846575497
Fibroblast	Fibroblast	ZBTB38	0.41082437	2.15131095	0.41082437	0.6	0.778602971	NA	NA	NA	NA	NA	0.58422128	122.071753	0.58422128	0.94	0.748527012	0.40024615	103.4304421	0.40024615	0.78	0.798187229
Fibroblast	Fibroblast	ID1	0.1350081	0.69981235	0.1350081	0.73	0.818831375	0.39556239	2.21096912	0.39556239	2.39	0.685465851	0.87157661	64.42682017	0.87157661	5.06	0.578214764	0.72754729	34.40603033	0.72754729	4.96	0.599405302
Fibroblast	Fibroblast	ID3	0.13565951	1.12536158	0.13565951	0.63	0.857059961	0.09823459	1.36248619	0.09823459	0.98	0.883229036	0.48056887	1.27323545	0.96113774	22.72	0.494046819	1.06048008	7.54173906	1.06048008	20.79	0.469132653
Fibroblast	Fibroblast	NFATC4	0.08645336	17.72493883	0.09077603	0.3	0.960106383	0.1129355	25.50858416	0.1129355	0.25	0.952887538	0.03768074	2.05808596	0.03768074	0.66	0.965389785	0.0210371	0.12937153	3.46945E-18	0.64	0.92597135
Fibroblast	Fibroblast	TSC22D1	4.42507508	62.72556401	3.98256758	15.82	0.280094149	1.93919983	2.38556357	1.93919983	16.5	0.300463369	1.73145343	371.505045	1.73145343	14.15	0.438365349	1.14083915	69.13476362	1.14083915	17.46	0.497210838
ESC	ESC	Btf3	0.26955432	0.36523629	0.26955432	10.97	0.624165243	0.27480995	0.65977214	0.27480995	9.95	0.686489943	0.15281802	0.31162193	0.15281802	7.12	0.778063833	0.64294548	5.52673985	0.64294548	12.08	0.712414138
ESC	ESC	Tcf19	0.37073908	1.40254713	0.37073908	0.7	0.745003224	0.25422773	1.37865433	0.25422773	1.07	0.761489362	0.23477777	2.66764727	0.23477777	2.42	0.771065063	0.22321729	1.37387029	0.22321729	2.62	0.743820448
ESC	ESC	Tgif1	1.63027632	382.6800838	1.63027632	3.09	0.511935651	1.6754648	178.427333	1.6754648	2.06	0.538674645	0.82225235	229.737638	0.82225235	1.29	0.67086039	1.20294212	531.7657205	1.14279501	1.67	0.602919234
ESC	ESC	Phc1	1.86589167	13.16411214	1.86589167	4.38	0.444488882	0.52150361	0.35921081	0.52150361	5.06	0.443369406	NA	NA	NA	NA	NA	0.16556207	2.33148493	0.16556207	0.37	0.877377087
ESC	ESC	Eno1	0.92253677	1.09070089	0.92253677	9.85	0.399765128	2.38619729	5.53595964	2.38619729	15.52	0.31461673	0.5058982	1.379512	0.5058982	4.72	0.599869583	0.6760211	2.494968	0.6760211	8.42	0.541928089
ESC	ESC	Yy1	0.33535463	0.55696648	0.33535463	2.31	0.741436547	0.19749015	0.25336238	0.19749015	2.09	0.751496011	0.55716488	2.40758607	0.55716488	1.39	0.734384262	0.71560168	126.3653377	0.75138177	1.03	0.765662833
ESC	ESC	Csrp2	0.17912152	0.04127943	0.00895608	5.01	0.655376213	0.02167049	0.71420441	0.02167049	0.39	0.974468085	0.09504856	0.22329806	0.09504856	2.24	0.808061224	0.08277833	0.36454422	0.08277833	1.69	0.863129058
ESC	ESC	Mtf2	1.31991744	1.30504824	1.31991744	9.11	0.350713804	1.93583496	2.83228456	1.93583496	8.35	0.338117608	0.45538694	66.63748704	0.45538694	0.81	0.805584734	0.59658574	166.9899091	0.59658574	0.84	0.778349636
ESC	ESC	Trip6	0.611609	18.47055509	0.611609	1.13	0.700202634	0.19993797	0.43594059	0.19993797	1.16	0.710795902	1.18987492	150.6559965	1.18987492	3.66	0.540444435	0.88604194	7.20586271	0.88604194	3.93	0.553122419
ESC	ESC	Trip13	0.59682137	2.86017168	0.59682137	3.21	0.619680851	0.52258185	0.55541601	0.52258185	2.74	0.533212247	0.14862917	3.46571851	0.14862917	1.07	0.862662338	0.09929059	0.75860448	0.09929059	0.7	0.866165085
ESC	ESC	Tead2	0.72397773	66.73330698	0.76017661	1.2	0.696808511	NA	NA	NA	NA	NA	0.49742292	105.4573941	0.49742292	1.05	0.763849668	0.50566248	11.85669688	0.50566248	0.8	0.769708188
ETC	ETC	Afg1l	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Bdnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Bid	0.69454269	3.40264723	0.69454269	3.76	0.567747574	0.75780166	0.98110782	0.75780166	3.98	0.467319149	0.65348703	3.63359495	0.65348703	2.89	0.5937224	0.64972485	2.73251957	0.64972485	2.66	0.595680502
ETC	ETC	Ccnb1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Cdk1	0.51283653	0.71286789	0.51283653	6.29	0.4992701	0.82245124	2.59755634	0.82245124	7.74	0.491206067	0.23516013	5.37603957	0.24691813	5.11	0.788550799	0.283172631	295.029691	0.28317263	4.82	0.783499182
ETC	ETC	Chchd2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Coa6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Coq7	0.82208529	1.00102052	0.82208529	4.81	0.442745761	0.97767911	19.84621428	0.83102725	3.43	0.533660497	0.52176969	2.13053036	0.52176969	2.78	0.608078917	0.38134123	0.98099633	0.38134123	2.13	0.633759042
ETC	ETC	Coq9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Cox4i1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Cox4i2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Cox5a	4.24266462	23.36002478	3.81839816	22.45	0.266108631	6.39377067	215.6553208	6.39377067	15.68	0.251609458	2.29271763	961.426078	2.29271763	13.02	0.390117312	2.51422862	458.5432966	2.51422862	8.08	0.390638573
ETC	ETC	Cox5b	2.41663554	96.74718959	2.41663554	4.2	0.439707243	NA	NA	NA	NA	NA	2.89985504	358.7146473	2.89985504	3.88	0.431570298	NA	NA	NA	NA	NA
ETC	ETC	Cox6a1	3.29324974	4.76701136	3.29324974	27.54	0.233326238	3.85543296	8.76571784	3.85543296	33.52	0.238481361	4.17183988	184.3633525	4.17183988	38.24	0.278001067	4.19693911	113.0160807	4.19693911	45.72	0.269468156
ETC	ETC	Cox6a2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Cox7c	2.65928633	5.82629487	2.65928633	14.58	0.306056841	2.58523122	6.55551928	2.58523122	14.94	0.316426806	3.15581246	135.597577	3.15581246	11.6	0.336534889	2.60267852	15.40021144	2.47254459	11.19	0.344683102
ETC	ETC	Cyb561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Cyc1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Cycs	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Cyct	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Dguok	0.31876396	0.90054041	0.31876396	0.92	0.716724394	0.2440693	1.20856629	0.2440693	0.66	0.78620453	0.5082567	71.44929067	0.5082567	0.99	0.747883132	0.05343728	0.10656384	0.00267186	0.7	0.784797777
ETC	ETC	Dhrs2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Dld	0.86036683	2.19716111	0.86036683	1.8	0.581862999	0.73354343	1.06888784	0.73354343	1.76	0.56768617	0.77374265	99.71532549	0.77374265	2.53	0.61905821	1.21334799	33.63262738	1.09201319	2.99	0.534490641
ETC	ETC	Dnajc15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Enox2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Etfb	2.16194011	14.48048472	2.27003712	8.29	0.389422414	0.81568509	1.76449886	0.81568509	6.24	0.471158392	1.03572076	12.65838843	1.03572076	10.32	0.541026679	0.78497778	5.32809394	0.78497778	10.81	0.564668135
ETC	ETC	Etfbl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Etfdh	0.77146804	2.39525092	0.77146804	1.66	0.624535039	0.26176313	1.08669556	0.26176313	0.73	0.787065181	0.79362129	16.18185808	0.83330235	2	0.635437335	0.68383027	80.50917867	0.61544724	1.22	0.691964286
ETC	ETC	Etfrf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Gba	0.92862235	1.85798228	0.04643112	0.67	0.699062387	NA	NA	NA	NA	NA	0.95249864	19.45781065	0.95249864	3.22	0.573695841	0.99678786	5.95785489	0.99678786	3.69	0.533688101
ETC	ETC	Gpd1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Hoxb3os	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Immp2l	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Iscu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Mtch2	0.16796623	0.17848086	0.16796623	13.17	0.841851011	NA	NA	NA	NA	NA	0.30032537	1.53269631	0.30032537	10.15	0.757130076	0.35797042	2.20214537	0.35797042	12.16	0.754042094
ETC	ETC	Mybbp1a	1.35524372	4.50534164	1.35524372	8.77	0.430917058	1.37283272	4.92518451	1.37283272	9.52	0.411992263	0.61161562	8.83458477	0.61161562	3.92	0.688100837	0.45009618	1.18976228	0.45009618	3.5	0.673503278
ETC	ETC	Ndor1	0.51927318	1.49666341	0.51927318	1	0.67936399	NA	NA	NA	NA	NA	0.296072	1.04840353	5.55112E-17	0.41	0.807638889	NA	NA	NA	NA	NA
ETC	ETC	Ndufa10	4.40455476	105.2426422	4.6247825	14.82	0.293511631	3.22322704	26.14874232	3.22322704	12.79	0.311856126	1.35687798	13.62253665	1.35687798	12.22	0.428157586	1.35733712	32.61910205	1.22160341	9.75	0.444941838
ETC	ETC	Ndufa12	3.95586997	8.53659465	3.95586997	14.31	0.271308543	3.53327997	22.85882069	3.53327997	10.12	0.318165374	3.11986069	110.196591	3.11986069	17.72	0.324115691	2.69304426	409.9664817	2.69304426	13.97	0.344749702
ETC	ETC	Ndufa5	1.98990686	4.98296718	1.98990686	12.05	0.349448837	1.90545171	59.92302289	1.71490654	10.88	0.395530459	1.48940426	23.20470535	1.48940426	11.03	0.434018146	1.63272665	42.58125195	1.63272665	11.95	0.419806347
ETC	ETC	Ndufa7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Ndufa8	1.0862394	2.81656001	1.0862394	5.44	0.456481598	0.90948998	2.04972278	0.90948998	5.65	0.463974855	1.10553243	10.96609513	1.10553243	11.93	0.456698941	1.13807986	20.16919834	1.13807986	12.45	0.471923389
ETC	ETC	Ndufaf1	0.30387312	0.65233462	0.30387312	2.04	0.639896373	1.02361654	5.65830257	1.02361654	2.31	0.549024414	0.50049866	6.59798363	0.50049866	1.81	0.685870536	0.40299758	1.76173183	0.40299758	1.98	0.673494197
ETC	ETC	Ndufb3	3.10759542	8.30515356	3.10759542	3.42	0.39209253	3.10892901	348.938983	3.10892901	3.9	0.405675691	1.12354624	2.12603496	1.12354624	3.68	0.46483147	2.60341372	43.28674085	2.73358441	3.97	0.426367156
ETC	ETC	Ndufb6	2.41051659	28.85844206	2.16946493	13.42	0.359836806	1.6300301	1.90249621	1.6300301	10.16	0.338392235	1.83378805	530.980858	1.83378805	15.74	0.41157728	2.11651974	14.10634975	2.32817171	15.5	0.371997221
ETC	ETC	Ndufb8	3.18262725	8.62469895	3.18262725	23.72	0.277463982	5.34954353	29.03304582	4.81458918	25.43	0.240774358	3.24768788	129.0292504	3.24768788	23.29	0.313819578	2.23585986	5.77208917	2.23585986	24.89	0.322061747
ETC	ETC	Ndufb9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Ndufc2	1.17273504	1.19549527	1.17273504	7.04	0.383482215	1.13433731	0.91353603	1.13433731	6.77	0.367080285	2.00270547	16.42198352	2.00270547	7.85	0.390113599	2.3901281	23.73516949	2.50963451	6.2	0.394709757
ETC	ETC	Ndufs1	0.64892737	2.01958141	0.64892737	3.25	0.551562825	1.36027552	19.76854558	1.36027552	3.98	0.496359085	NA	NA	NA	NA	NA	0.54390808	1.05405512	0.54390808	2.92	0.571960879
ETC	ETC	Ndufs2	0.48795099	0.68616447	0.48795099	11.86	0.502954513	0.41913278	0.6577021	0.41913278	10.92	0.547895169	0.35922586	1.99155874	0.35922586	9.26	0.724425526	0.46579161	0.72294458	0.46579161	13.54	0.647365068
ETC	ETC	Ndufs3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Ndufs4	1.75601832	4.79256708	1.75601832	6.12	0.400272969	1.15325382	2.0761707	1.15325382	6.31	0.429174671	1.61448078	155.6524989	1.61448078	6	0.457069472	0.94392343	1.74736402	0.94392343	5.08	0.466443786
ETC	ETC	Ndufs6	1.85988661	2.76964826	1.85988661	17.69	0.323510574	2.40534983	3.81387562	2.40534983	15.44	0.299272695	1.56639316	8.6177248	1.56639316	9.18	0.414223807	1.65499884	6.84340027	1.65499884	7.28	0.404564224
ETC	ETC	Ndufs7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Ndufs8	0.83297224	1.98148541	0.83297224	4.88	0.486817761	0.74203008	1.24440143	0.74203008	6.49	0.467475711	1.6338321	180.9121591	1.6338321	6.61	0.451712271	1.53622161	67.04423089	1.53622161	7.03	0.458488976
ETC	ETC	Ndufv1	0.81764985	1.0608388	0.81764985	5.09	0.444920712	1.21360974	82.08400386	1.09224877	3.86	0.518521775	0.79151901	4.34269562	0.79151901	3.65	0.561782823	0.85432015	157.5299978	0.89703615	2.61	0.592206201
ETC	ETC	Ndufv2	3.14543803	33.04661872	3.14543803	10.45	0.330025567	2.91930481	210.6712454	2.91930481	8.59	0.365055361	1.36466894	2.0373019	1.36466894	8.78	0.377806122	NA	NA	NA	NA	NA
ETC	ETC	Ndufv3	2.78569418	26.53821067	2.78569418	11.84	0.343780467	2.95709514	96.55966755	2.95709514	15.62	0.332323613	1.9421429	133.5963234	1.9421429	11.07	0.403857707	2.23719354	568.376436	2.23719354	13.07	0.383093141
ETC	ETC	Park7	3.12032464	147.3675866	2.49625971	21.59	0.313656849	1.64346384	2.63635159	1.64346384	25.94	0.320580681	0.69100445	3.21159043	0.69100445	10.13	0.514781394	0.95935734	3.77658903	0.95935734	23.81	0.450055644
ETC	ETC	Pink1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Plec	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Polg2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Por	0.78067428	3.36757821	0.78067428	1.22	0.644756839	NA	NA	NA	NA	NA	0.99325045	195.9059848	0.99325045	2.04	0.603170233	0.88840455	2.08684859	0.88840455	3.64	0.505325137
ETC	ETC	Ppargc1a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Sco2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Sdha	3.46612291	14.76966463	3.46612291	15.06	0.306018237	1.58317438	1.70254657	1.58317438	12.79	0.336455215	1.32613734	11.5077926	1.25983047	11.18	0.435099712	1.28906633	3.92185965	1.28906633	10.53	0.405929642
ETC	ETC	Sdhaf2	0.55860183	4.19156242	0.55860183	1	0.712532149	0.55530925	2.95606693	0.55530925	1.2	0.687585399	0.83600898	126.3597368	0.83600898	1.8	0.638370367	0.79470634	109.4123101	0.79470634	2.31	0.633238398
ETC	ETC	Sdhb	2.98924811	107.2600824	2.54086089	13.56	0.344312602	1.31097555	2.23526117	1.31097555	10.66	0.392620358	1.97322232	19.00628061	1.77590008	14.15	0.380617276	1.92705955	46.81494695	1.92705955	12.34	0.394297445
ETC	ETC	Sdhc	0.35872409	0.35062627	0.35872409	6.24	0.509107608	0.53679106	0.34417893	0.53679106	8.57	0.418983145	0.91896608	1.67395192	0.91896608	8.96	0.437211691	1.1302276	2.00684988	1.1302276	9.14	0.407693091
ETC	ETC	Sdhd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Slc1a3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Slc25a12	0.7185606	0.90322879	0.7185606	3.69	0.481259278	2.16437029	10.80266863	2.16437029	6.02	0.400151976	0.71829759	35.88748647	0.71829759	3.22	0.620114194	0.71039731	4.14670821	0.71039731	2.66	0.605169906
ETC	ETC	Slc25a13	3.19279574	7.45923739	3.19279574	11.1	0.296588408	4.04571147	494.3379411	4.04571147	6.1	0.342486354	0.63492977	16.47299145	0.66667626	1.97	0.658882005	0.44264117	1.42708613	0.44264117	1.03	0.69064441
ETC	ETC	Slc25a18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Slc25a22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Slc37a2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Snca	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETC	ETC	Sod2	0.78943745	1.18868634	0.78943745	16.34	0.42713704	1.43253395	1.42430066	1.43253395	26.5	0.309927361	0.4759009	2.49668751	0.4759009	5.7	0.662054394	1.05488947	32.83379887	0.89665605	13.49	0.532237797
ETC	ETC	Tafazzin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
