Gene	kon	koff	OR	Zero_Zero	FullCorr	FullCorr_Ubiq	Ubiq
Atpif1	3.51437212	20.46278087	NA	1	0	0	
Bsg	3.52141162	35.19712357	NA	1	0	0	
Canx	5.2302576	483.290878	NA	1	0	0	
Cct4	1.7451804	1.98148353	NA	1	0	0	
Cct5	6.596689	277.4884144	NA	1	0	0	
Cdt1	2.54465849	3.67783438	NA	1	0	0	
Cnbp	1.45476269	2.6386477	NA	1	0	0	
Cox8a	4.7490025	6.92608075	NA	1	0	0	
Csde1	3.51316725	300.5568125	NA	1	0	0	
Dek	3.34293332	348.5246545	NA	1	0	0	
Eif3c	3.81484266	6.76287207	NA	1	0	0	
Eif3d	2.80375792	3.485152	NA	1	0	0	
Eif3g	3.91974027	245.1647324	NA	1	0	0	
Eif4ebp1	2.83672139	13.4482329	NA	1	0	0	
Fn1	3.54E+00	5.27E+02	NA	1	0	0	
Gnb2l1	3.98908319	327.6950066	NA	1	0	0	
Golm1	1.06801227	3.05812157	NA	1	0	0	
Gsta4	1.4255233	1.88799848	NA	1	0	0	
H3f3b	3.57912502	299.536574	NA	1	0	0	
Hnrnpab	1.89405844	5.72676753	NA	1	0	0	
Hsp90b1	2.84712812	26.78114318	NA	1	0	0	
Hspa5	3.05E+00	5.21E+02	NA	1	0	0	
Hspe1	2.86415015	14.65845511	NA	1	0	0	
Mdh2	1.8227169	0.92868458	NA	1	0	0	
Mrpl42	2.0071744	5.12554631	NA	1	0	0	
Msh6	2.12254417	3.20601284	NA	1	0	0	
Mthfd1	2.72633748	3.90846598	NA	1	0	0	
Ncl	3.28056583	10.72798066	NA	1	0	0	
Ndufa10	4.40466579	105.2461185	NA	1	0	0	
Ndufa13	2.75804581	10.76362185	NA	1	0	0	
Ndufb8	3.18244428	8.6219739	NA	1	0	0	
Ndufs6	1.85984083	2.76946432	NA	1	0	0	
Ndufv3	2.7857679	26.53926663	NA	1	0	0	
Nedd4	2.69343521	3.83605501	NA	1	0	0	
Nme1	2.59195687	6.00644947	NA	1	0	0	
Nop58	4.13013135	10.55031641	NA	1	0	0	
Pabpc1	3.68850939	5.1325892	NA	1	0	0	
Park7	3.12119756	147.3996134	NA	1	0	0	
Parp1	2.96433762	3.63688277	NA	1	0	0	
Psmd3	1.8892923	3.50728241	NA	1	0	0	
Rbm25	1.91587891	4.69266038	NA	1	0	0	
Rcc2	3.24920596	12.50432507	NA	1	0	0	
Rpa1	1.67409687	1.80926409	NA	1	0	0	
Rpl22	4.67495963	555.8876322	NA	1	0	0	
Rps11	2.73782096	2.81850079	NA	1	0	0	
Rps20	6.46910402	449.0732291	NA	1	0	0	
Rps3	7.87611124	28.12202538	NA	1	0	0	
Serbp1	2.79422154	28.23041839	NA	1	0	0	
Sf3b1	3.31822974	304.9087601	NA	1	0	0	
Slc25a3	4.37725613	212.3680807	NA	1	0	0	
Snrpb	2.38021057	5.17870926	NA	1	0	0	
Son	2.21748704	4.45986393	NA	1	0	0	
Sub1	4.57790198	10.48281904	NA	1	0	0	
Timm17a	2.6794796	14.44945824	NA	1	0	0	
Tsc22d1	4.42540971	62.73191137	NA	1	0	0	
Txnl4a	3.56667043	137.6399002	NA	1	0	0	
Uqcrc1	3.14822636	22.67869222	NA	1	0	0	
Rcan2	0.05695949	0.98908921	NA	0	0	0	
Rian	1.76799504	155.7457579	NA	0	0	0	
Rin3	0.01040486	0.13174992	NA	0	0	0	
Rps2	4.3323006	81.35534917	NA	0	0	0	
Rps24	2.99760901	9.17543248	NA	0	0	0	
Rps5	3.10085872	3.16528065	NA	0	0	0	
Rrm2	2.05291018	16.80955448	NA	0	0	0	
Sacs	0.04714301	2.17343491	NA	0	0	0	
Sae1	2.06244394	3.78966225	NA	0	0	0	
Sema5a	0.10582518	32.38174062	NA	0	0	0	
Sf3a3	1.67025418	2.25316469	NA	0	0	0	
Sf3b5	2.65180533	12.6008781	NA	0	0	0	
Slc22a18	0.03780364	0.17651233	NA	0	0	0	
Slc4a3	0.02072827	0.44818097	NA	0	0	0	
Snx6	0.8505901	1.68054	NA	0	0	0	
Steap3	0.03722417	2.64676913	NA	0	0	0	
Suox	0.02072923	0.44820805	NA	0	0	0	
Tagln	0.05696039	0.98910675	NA	0	0	0	
Tars	0.81231133	1.2466253	NA	0	0	0	
Thsd1	0.05626723	0.98815923	NA	0	0	0	
Tpr	4.84649029	52.44652598	NA	0	0	0	
Uggt2	0.4244019	2.23512125	NA	0	0	0	
Uhrf1	3.14283394	242.8293831	NA	0	0	0	
Vdr	0.02049426	0.44810922	NA	0	0	0	
Wnt4	0.00582638	0.45093562	NA	0	0	0	
Xaf1	0.42014923	1.8416865	NA	0	0	0	
Xrcc5	2.95647084	1.46546541	NA	0	0	0	
1810037I17Rik	2.56876564	18.82085134	NA		0	0	
4930486L24Rik	0.20529675	52.63117759	NA		0	0	
Adra2a	0.01957853	0.8282067	NA		0	0	
Anp32a	2.27061082	7.17095506	NA		0	0	
Atp5a1	3.04586223	3.16058582	NA		0	0	
Atp5g3	1.70346034	2.24168069	NA		0	0	
Bax	3.48501224	178.1615516	NA		0	0	
Bcas2	2.66843994	17.18195551	NA		0	0	
Ccbe1	0.05696174	0.98913315	NA		0	0	
Ccdc114	0.09729657	0.50569812	NA		0	0	
Ccnd2	4.44E-02	1.90E+01	NA		0	0	
Cd81	3.20433978	282.5851298	NA		0	0	
Cd9	2.44954507	43.32657589	NA		0	0	
Chchd10	1.8515614	1.0311413	NA		0	0	
Clta	4.0688529	360.3934209	NA		0	0	
Cops5	2.14701477	3.90908086	NA		0	0	
Cox6c	4.59096812	62.47435187	NA		0	0	
Cox7c	2.65580405	5.79603031	NA		0	0	
Crim1	0.0217399	0.44891986	NA		0	0	
Csrp2	0.60541105	0.27456542	NA		0	0	
Cyp27a1	0.00767952	0.13567795	NA		0	0	
Dtx4	0.02072999	0.44822547	NA		0	0	
Dtymk	1.99414946	1.99496288	NA		0	0	
E2f6	0.29534572	145.1222351	NA		0	0	
Ehd3	0.04498253	2.16633096	NA		0	0	
Eno1	0.92254149	1.09071762	NA		0	0	
Fabp5	0.30618479	115.6055987	NA		0	0	
Fes	0.01957643	0.8280562	NA		0	0	
Flrt1	0.00609683	0.41558219	NA		0	0	
Fosl2	0.05626796	0.98816478	NA		0	0	
Fscn1	1.0606123	2.18738784	NA		0	0	
Gatm	0.08159315	0.75612838	NA		0	0	
Gm10941	0.0035954	0.15760819	NA		0	0	
Gnai2	2.48795215	2.32306858	NA		0	0	
Got1	2.00906936	4.0171788	NA		0	0	
Gpc6	0.12088004	3.37490391	NA		0	0	
Gpr124	3.46E-02	1.52E+01	NA		0	0	
Hint1	3.52116735	11.82486389	NA		0	0	
Hoxb13	0.1679776	131.3373544	NA		0	0	
Hpse	5.29E-03	3.99E-01	NA		0	0	
Hspa4l	0.04659075	2.17241374	NA		0	0	
Ifitm3	2.43735258	4.57024882	NA		0	0	
Igfbp7	0.01724012	0.20222612	NA		0	0	
Irgm1	1.89E-02	1.33E+00	NA		0	0	
Jam2	2.18858064	9.39560146	NA		0	0	
Katnal2	0.12062173	17.57848742	NA		0	0	
Lamtor2	2.72373729	541.5825867	NA		0	0	
Limch1	0.02023104	0.83392077	NA		0	0	
Lman2	1.42734448	2.78537578	NA		0	0	
Lpar6	0.15235598	0.78473358	NA		0	0	
Man1a	0.00275328	0.08387834	NA		0	0	
Map3k14	0.00340487	0.04867165	NA		0	0	
Mapk11	0.02466184	0.80480435	NA		0	0	
Mcm2	2.5597552	8.55424336	NA		0	0	
Meg3	0.83857652	84.87624793	NA		0	0	
Mfn2	0.06330507	0.64902832	NA		0	0	
Myo7a	0.26282281	23.41724978	NA		0	0	
Ncoa7	0.02402604	0.11226016	NA		0	0	
Ndufa12	3.95606877	8.53794307	NA		0	0	
Nfam1	0.00217982	0.06618224	NA		0	0	
Npr3	0.00623265	0.41567393	NA		0	0	
Nupr1	0.50204038	5.5171816	NA		0	0	
P2ry2	0.12314216	0.51888826	NA		0	0	
Pde8b	0.08267976	0.75718724	NA		0	0	
Prdx1	4.81485802	6.57049261	NA		0	0	
Psmb2	2.33264876	3.10255675	NA		0	0	
Ptges	0.04286751	2.9327406	NA		0	0	
Cdh2	0.06410428	21.92103817	352			0	
Ccdc40	0.04000567	5.44399609	267			0	
Cmtm4	3.02E-02	2.05E+01	267			0	
Filip1l	0.04605878	2.17320425	267			0	
Prdm16	0.04091279	5.39722586	267			0	
Aamp	2.09635676	2.66614958	180			0	
Lap3	1.64786571	2.39437909	180			0	
Paqr7	0.02175468	0.8301085	180			0	
Ret	0.01957787	0.82817571	180			0	
Slc2a9	0.01958001	0.82834262	180			0	
Acvr1	0.04991275	11.93621043	174			0	
C030034I22Rik	0.06386032	40.12029047	174			0	
P4htm	0.04932174	2.28595105	174			0	
Cxcl16	0.0339402	0.54938987	168			0	
Angel1	8.05E-02	7.55E+01	143.5			0	
Btbd7	0.06232819	5.92288335	132			0	
Npnt	0.03453339	12.00575413	132			0	
Parp10	0.03400451	10.23247057	132			0	
Bbs12	0.0873585	0.76197064	114.6666667			0	
Col4a2	0.06642988	1.40765079	106.25			0	
Arhgap29	0.1061113	17.44423519	105			0	
Adh7	0.00576298	0.45086961	91			0	
Begain	0.00359397	0.15753133	91			0	
Calm1	2.75684127	4.47042678	91			0	
Lhx6	0.00205815	0.06063001	91			0	
Lmod1	0.00278686	0.08501375	91			0	
Paics	4.00014948	13.45994829	91			0	
Pomp	2.63782984	6.15538032	91			0	
Prmt1	2.30307475	4.56168844	91			0	
Usmg5	1.83139525	2.2885352	91			0	
Birc5	1.87861951	17.56362661	89.14285714			0	
Actr2	4.07355209	294.1936365	89			0	
Bcl9l	3.10E-02	1.63E+01	89			0	
Camk2n2	0.04292676	5.44040548	89			0	
Fgf10	0.01902778	1.1502782	89			0	
Klhl23	0.01964267	1.34812111	89			0	
Mylk	0.01489879	1.2726037	89			0	
Nrp1	0.02072688	0.4481523	89			0	
Pmp22	0.01958226	0.82849626	89			0	
Rgl1	0.05695151	0.98893274	89			0	
Sfxn3	0.06969507	2.24296023	89			0	
Snx3	2.24679113	3.60654874	89			0	
Tomm7	1.68179374	5.22775283	89			0	
Khdrbs3	0.00549748	0.03653941	87			0	
Obsl1	0.03626472	0.46701452	87			0	
Slc16a11	0.04142586	0.84421237	87			0	
Spsb1	3.48E-02	2.43E+01	87			0	
Top2a	0.93799236	2.65113343	87			0	
Arhgap22	0.03644191	0.83352104	85			0	
Cryab	0.02962157	1.31147184	85			0	
Pomt2	0.11517808	0.5173585	80			0	
Hdac4	0.1771582	4.36979151	79			0	
Zfp959	0.22150834	72.14445636	70.2			0	
Ehhadh	0.04076706	0.29547671	70			0	
Dsp	0.01027771	0.13165524	65.25			0	
Hecw2	0.00949957	0.19876466	65.25			0	
Ubxn11	0.12977273	1.49378129	59.25			0	
Slc43a2	0.01723857	0.20220688	58.66666667			0	
Zbtb4	0.02256619	0.4495392	58.66666667			0	
Ap3m2	0.01934109	0.10982014	57.85714286			0	
Cpne8	0.06128195	23.72201472	57.85714286			0	
Perp	0.11233246	2.16619185	57.85714286			0	
Loxl4	0.04141973	0.84401368	56.66666667			0	
A330069E16Rik	9.67E-02	9.69E+01	55.5			0	
Slc12a9	0.01064721	0.13349398	55.33333333			0	
Saa3	0.22101548	57.62056887	54			0	
Fbxo36	0.00202477	0.01097556	51.875			0	
Gpx8	0.08380433	0.7583557	51.875			0	
Hmgb2	1.21E+00	4.62E+02	51			0	
Zdhhc2	0.11753948	2.38671843	51			0	
Parp3	0.00262105	0.00713545	48.85714286			0	
Atp2b4	0.06646783	0.93300001	46.11111111			0	
2010107E04Rik	1.70510186	1.76328673	45			0	
4931440P22Rik	0.01979924	0.82837449	45			0	
A830010M20Rik	0.02147946	0.44877104	45			0	
Adcy4	0.00609696	0.41558623	45			0	
Atp5f1	1.83069968	2.56076005	45			0	
Brix1	2.44498707	6.91469141	45			0	
Col7a1	0.02049081	0.44803254	45			0	
Cuedc1	0.02073038	0.82914405	45			0	
Dpy30	1.77449411	2.15063292	45			0	
Eif4h	3.58738176	155.2606091	45			0	
Entpd2	0.00363436	0.15755302	45			0	
H2afv	1.46774751	2.16077897	45			0	
Kctd12	0.02049317	0.44808818	45			0	
Lix1l	0.02148395	0.44887178	45			0	
Lrrn4cl	0.01856294	1.34659988	45			0	
Nppb	0.02072943	0.44821105	45			0	
Prkar2b	0.00363497	0.15758375	45			0	
Prkcdbp	0.02072936	0.4482078	45			0	
Psma2	2.20915832	2.85700316	45			0	
Psmb7	3.67681793	39.00663604	45			0	
Psmc3	1.75390462	3.63564251	45			0	
Rab3il1	0.01877357	1.34803932	45			0	
Setbp1	0.00295177	0.08503065	45			0	
Stip1	1.83986709	4.65733092	45			0	
Stx11	0.02048805	0.44797686	45			0	
Sugt1	2.20563001	5.91848349	45			0	
C1qtnf6	0.0182298	0.59297637	44			0	
Col5a1	0.0623088	0.99596193	44			0	
Fzd6	0.05766807	0.99001238	44			0	
Psd4	0.00727428	0.15740025	44			0	
Tmem8b	0.05839321	0.99096337	44			0	
Zfp276	0.18646133	0.66814525	44			0	
Adh1	0.03583368	0.46681511	43.5			0	
Ltbr	0.01063872	0.15653493	43.5			0	
Mmp23	0.01964508	1.34863606	43.5			0	
Mrpl13	1.24241519	1.23165317	43.5			0	
Rap1gap2	0.05321517	0.47169228	43.5			0	
Rnft2	0.03583465	0.46683064	43.5			0	
Slc29a4	0.04691018	0.46709165	43.5			0	
Steap1	0.03626877	0.4671041	43.5			0	
Tekt2	0.02217456	0.39717768	43.5			0	
Pbx1	0.04507055	1.43213243	43			0	
Smad6	0.04290451	1.38778551	43			0	
Stxbp5	0.06755478	32.7150626	43			0	
Plxdc1	0.28540265	0.90433569	42.1875			0	
Bub1b	3.5241862	117.3115846	42			0	
Rin2	0.09023766	66.85910422	42			0	
Slc35d1	0.12672996	34.38446585	42			0	
Zbtb20	0.03761426	0.46746974	42			0	
Clip3	6.80E-02	3.99E+01	41			0	
Zbtb3	0.14536514	4.30056315	40.5			0	
Evc2	0.12498871	6.34846922	39			0	
Ptk2b	0.19078291	7.86838081	39			0	
