Gene	kon	koff	OR	Zero_Zero	FullCorr	FullCorr_Ubiq	Ubiq
Exoc3l	0.03597247	4.26092815	358.3333333				
Tbc1d10c	0.01946119	0.88556703	358.3333333				
Hpdl	0.02302504	0.97030668	327				
Txlnb	0.02271886	0.97101841	327				
Coro2b	0.02625034	2.42029141	288				
Rnft2	0.031262843	73.7980269	254.4				
A4galt	0.00204026	0.397527262	221				
Adhfe1	0.01697866	0.44550683	217				
Dact2	0.02324208	0.9702069	217				
Kat2b	0.0219613	1.3864765	216				
Guca1b	0.040264124	142.486752	213				
C030034I22Rik	0.11935287	0.77404722	198				
Plxdc1	0.0580853	5.04591218	184.625				
Uhrf1	0.32400295	70.11299466	179.4583333				
Lef1	0.0291078	2.17332693	171.2				
Cenpl	0.048352946	224.435868	159				
C920006O11Rik	0.14115603	0.57983504	148.5555556				
Flrt1	0.00413211	0.13014412	145.3333333				
Pdgfb	0.00835625	0.82025555	145.3333333				
Tcfl5	0.05305958	13.13940497	144.2				
Mpp7	0.04890612	1.91892479	131.25				
Ica1	0.00345759	0.02454233	130.4545455				
Tk1	0.21860838	5.055773	127.6153846				
Gatm	0.05570596	18.1336163	121.1428571				
Sort1	0.06372964	35.98082203	121.1428571				
C77080	0.11400809	8.16049128	118.5555556				
Clspn	0.09936303	1.3844208	118.3928571				
Plk1	0.09362887	1.40549729	114.1166667				
Mki67	0.06729223	0.76117638	112.2121212				
Slc17a9	0.06247545	58.2768402	110.9333333				
Bcl6b	0.002042141	0.319408667	110				
Elmo1	0.00825522	0.43930283	110				
Prdm16	0.00853071	0.43946171	110				
Rasip1	0.00800999	0.81912665	110				
4931440P22Rik	0.01826064	2.08750555	109				
Eya1	0.02282152	0.97085621	109				
Sarnp	0.020181505	10.453432	109				
Cnot6	0.02057828	0.37581847	108				
Lipe	0.00590598	0.10295943	107				
Rasl11b	0.02583271	16.3895266	107				
Nuf2	0.07098761	0.78552049	100.4285714				
Cdan1	0.099988209	37.1207534	100				
Napepld	0.10249583	4.72062744	98				
Ccdc114	0.04977817	1.81902928	97.53333333				
Ppfibp2	0.05079111	1.4768344	92				
Ccna2	0.12524395	2.12023907	91.46666667				
Sema5a	0.063157647	64.2730426	91.4375				
Angel1	0.06729737	18.50192127	91.11111111				
Gm10941	0.051398998	37.0219738	89.57142857				
Pycard	0.0753742	1.06932876	89.57142857				
Tbkbp1	0.06798003	48.53474941	87.91666667				
4930486L24Rik	0.0076296	1.32606306	86.4				
Ecm1	1.04293386	4.20972912	86.4				
Gas2l3	0.11688726	7.89417319	84.42857143				
Ckap2l	0.08482889	1.09394028	83.51851852				
Ube2c	0.13480744	3.72543733	80.2037037				
Zfp599	0.14663191	0.99663165	79.6				
Birc5	0.08229869	0.78339091	77.77777778				
Pde9a	0.06560005	2.08201996	76.5				
Cnn2	1.83759982	9.62049565	73				
Pm20d1	0.01809561	2.08858461	72.33333333				
Tspan13	0.01817724	2.08761802	72.33333333				
Zfp941	0.0181807	2.08946214	72.33333333				
Aldh3a1	0.02406825	2.71172612	71.66666667				
Ralgps2	0.00837101	0.43937658	71.66666667				
Hnrnpa2b1	1.12514663	3.28889526	71.484375				
Aurkb	0.1031886	4.5830767	71.3625				
Fzd6	0.052204944	45.999712	70.33333333				
Ncapg	0.11617278	0.90011382	67.63636364				
Sytl1	0.01758974	3.02378577	66.7826087				
Camk2n2	0.17204038	11.53624533	66.13636364				
Cenpa	0.14855962	2.52061108	65.82051282				
Malat1	0.71471842	3.12624838	64.2				
Ccne2	0.091158065	7.82911086	63.97959184				
Lcp1	0.015759734	2.19635841	62.7				
Cdc25c	0.28472315	94.03018975	61.29545455				
Tagln	0.95895902	7.52330017	58.33333333				
Prickle2	0.13234188	40.83872561	56.7				
Dusp2	0.005775476	1.25415776	54.75				
Myadm	2.16841258	69.65771754	54.5				
Rtn4	1.63961565	154.795888	54.5				
Psmb6	1.8441475	13.92659093	53.5				
Zfp959	0.11881936	49.23267278	53.35416667				
Alpl	0.021594385	52.6017191	53.25				
Cdc14a	0.01302284	0.27283286	53.25				
Gprc5b	0.04628817	1.54325776	53				
Adck3	0.0659296	2.08338183	52.5				
Ccnb2	0.10680804	2.37730277	51.36923077				
Cenpf	0.10197039	2.47050082	51.11111111				
Zcwpw1	0.05892325	0.58645124	50.75				
Fgd4	0.04244105	1.92318794	49.76190476				
Zfp612	0.01509451	3.62475582	48				
Tbc1d4	0.02352974	0.34715046	47.6				
Hint1	2.32535241	311.535974	47.11111111				
Nfib	0.184398983	244.987566	46.87878788				
Suv39h2	0.09871121	16.9838866	45.74074074				
Nusap1	0.05336552	0.52730119	44.53571429				
Nek1	0.05630014	0.67374939	44.44444444				
Nphp3	0.158572255	309.919101	43.65714286				
Tmem44	0.035114011	38.5400094	43.54166667				
Usf2	0.0581871	0.84255362	43.54166667				
Tgfbi	0.07941316	6.05155278	43.28571429				
AA986860	0.022681864	14.6787736	43				
Kif2c	0.0772918	3.22277433	42.61111111				
Tet2	0.27959448	79.78857889	42.1875				
Gli2	0.02958957	0.73045188	41.8				
Mcm10	0.10315949	0.54404844	41.67226891				
March9	0.0421313	6.8369577	41.4				
Cdc6	0.06173582	1.37373596	41.11111111				
Ntn1	0.07475952	1.93971787	41				
Itga6	0.04045524	2.11896715	40.2				
D130040H23Rik	0.00585445	0.11820189	39.9375				
Mbd4	0.08572033	1.89246248	39.66666667				
Rab3il1	0.06608208	1.72141289	39.66666667				
Kifc1	0.217070306	121.111303	39.56632653				
Cyp27a1	0.02395836	0.6860328	39.5625				
2810417H13Rik	0.06377782	0.53044527	39.35714286				
D830031N03Rik	0.15980462	7.87463113	38.6				
Hmha1	0.02339933	0.94629715	38.25				
Klf11	0.16004816	71.87014282	38.2				
Kifc5b	0.10136026	6.69622833	37.69444444				
Slc4a11	0.05830032	0.58605407	37.6875				
Spry1	0.103095814	86.9389083	37.33333333				
Kcnk6	0.04930196	1.81859159	37.14285714				
Serbp1	1.63383917	11.29219008	37.14285714				
Gm10069	0.02271719	0.970887	36.33333333				
Srgap1	0.29123468	119.9927822	36.16666667				
Prex1	0.01355596	0.43069806	35.83333333				
Uqcr10	3.54164127	303.0942621	35.83333333				
Atad5	0.2400695	25.57811022	35.6984127				
Sgsm1	0.04180267	9.7825176	35.33333333				
Pgam2	0.00977464	0.21001748	35				
Pde8b	0.10896123	51.68454912	34.90909091				
Rpl6	0.02315675	1.35497884	34.83333333				
Pou2f1	0.04705567	1.28148175	34.66666667				
Zdhhc2	0.06180165	5.37141514	34.66666667				
Kif15	0.10870127	3.06670564	33.90196078				
Hmgb2	0.09243194	0.77752062	33.85714286				
Exo1	0.09588362	3.47762609	33.81818182				
Bub1	0.03864965	0.34101838	33.27272727				
Pstpip1	0.05691005	0.98372165	33.10666667				
Hist1h1b	0.05336856	0.81485486	32.5				
Hells	0.306998294	604.633909	32.42346939				
Ctgf	0.7097386	3.74711784	32.31428571				
Cdo1	0.01026099	0.28211447	31.8				
Zfp458	0.021677856	17.6505442	31.8				
Top3a	0.09454759	0.77231027	31.66666667				
Cdc25b	0.03724674	0.1884161	30.875				
Asf1b	0.17501894	1.86471154	30.8340081				
Hist1h1e	0.06937875	9.28583287	30.61538462				
Bub1b	0.10767695	1.71865397	30.16923077				
5830415F09Rik	0.08604987	0.67340689	29.85				
Ccdc18	0.08622205	11.83204902	29.85				
Ctsa	1.51694628	8.6730524	29.77777778				
Hmmr	0.08460372	0.81716285	29.73626374				
2610318N02Rik	0.00909704	0.43989704	29.57142857				
Crocc	0.04197165	0.63177927	29.57142857				
BC030867	0.16616941	28.2110892	29.33333333				
Kif21b	0.034287177	21.8253664	28.875				
Prmt1	0.86976917	4.09389638	28.73015873				
Zfp78	0.08332295	4.20073828	28.30666667				
Ttk	0.06677488	0.51254595	28				
Cdca2	0.06696434	0.64646206	27.83529412				
Cbx2	0.13204649	49.28436932	27.73333333				
Fanca	0.05858426	0.52571005	27.68181818				
Rad51	0.10904452	1.143838	27.56410256				
Gm5595	0.1548937	3.27418192	27.44444444				
Casc5	0.0389129	0.38284059	27.37190083				
Plagl1	0.09483279	4.93782892	27.35897436				
Chtf18	0.15656325	26.8859493	27.31952663				
Dstn	1.41385339	10.75088813	27.125				
Pcolce	2.08588253	32.25323092	27.125				
Ostf1	1.91629146	330.426148	27.03921569				
Sgol2	0.07767673	0.51495636	26.92307692				
Btbd11	0.02170218	1.3852614	26.75				
Pabpc1	1.4231407	144.646585	26.5				
Bcl7a	0.10578797	1.67159822	26.4				
Cd9	1.61392217	33.28762782	26.375				
Sacs	0.01437457	0.22340634	26.375				
St14	0.0121922	1.19191674	26.375				
Cenpe	0.07649457	0.78961418	26.34343434				
A830010M20Rik	0.01551387	0.20233918	26				
Lrr1	0.05350465	0.58736685	25.86458333				
Nr4a1	0.092046924	89.2630234	25.8125				
Gstt2	0.04152911	0.63136108	25.75				
Zfp446	0.04704868	15.66325053	25.625				
Zfat	0.08186053	47.31823207	25.25				
Arhgap18	0.07748841	20.50929252	24.75				
Klk8	0.111365694	84.0097833	24.73170732				
Polq	0.01381819	0.17089086	24.52380952				
Spag5	0.07684834	0.52791913	24.44230769				
Atp2b4	0.04392153	0.3821567	24.12121212				
Il17rd	0.02251528	0.97123341	24.11111111				
Angptl6	0.04558817	1.54404691	24.04761905				
Psd4	0.04619901	0.9753557	24.04761905				
Park7	0.69094267	3.20972848	23.70535714				
Gm4013	0.00418038	0.05301823	23.66666667				
Shcbp1	0.074341	1.1852347	23.62637363				
Plcb4	0.25071399	65.93060289	23.61805556				
Rpl8	1.58186629	5.21917226	23.44444444				
Bbs12	0.15879047	1.94678963	23.375				
Lamb2	0.51854135	1.91543941	23.18181818				
Prc1	0.117842	2.34367012	22.86184211				
Abca2	0.0662344	1.58679269	22.74285714				
Clcn2	0.11361662	90.19910588	22.74285714				
Cox6b2	0.05247532	1.28153819	22.61538462				
Mad2l1	0.40739471	86.03458481	22.61				
Kif22	0.05319635	0.49942685	22.44711538				
Chaf1b	0.14085794	3.97823854	22.20588235				
Prim1	0.24223072	93.7450937	22.2				
Bcam	0.05369947	0.52334914	22.1625				
D430020J02Rik	0.04888578	3.85520996	22				
Ttc38	0.205816511	188.26613	21.99408284				
Kif23	0.0571014	0.70562881	21.92307692				
Brca1	0.09398228	2.99300814	21.75524476				
Myl6b	0.05472537	0.60066947	21.75				
E2f8	0.10407852	5.85605243	21.71428571				
Dst	1.2420655	4.04750431	21.66666667				
Atox1	2.36700592	127.1277485	21.6				
Calu	2.18872857	340.183804	21.6				
Dnmt3b	0.00762965	1.32604783	21.6				
Fam73a	0.009829704	1.18659138	21.6				
Tmed10	2.10621502	9.14196175	21.6				
Gm11627	0.13402489	23.19251626	21.5				
Tonsl	0.09885416	44.69589271	21.44444444				
Pgap3	0.031797319	37.2447747	21.3				
Tceb1	2.20275323	37.3322334	21.3				
Actr2	3.15193976	341.9195195	21.26315789				
Col5a1	0.7534452	3.17401206	21.22222222				
Mxd3	0.05725276	1.83959092	21.13636364				
Fgf10	0.03348302	0.90650724	21.08695652				
Begain	0.02687209	0.45258925	21				
Cyr61	0.88699633	2.68917157	21				
Zfp2	0.1345091	1.48744487	21				
Deptor	0.00510576	0.03504129	20.92307692				
Zfp799	0.06189984	0.58835497	20.89285714				
Dync1h1	0.61257644	1.68135028	20.75				
Tmem59	1.68611045	7.38397393	20.7				
Slc4a3	0.21354451	0.8523286	20.68571429				
Ung	0.11274705	15.99349536	20.62666667				
Cdca5	0.14311675	40.98738215	20.40512821				
Pfdn1	1.54739612	166.7171438	20.4				
Tekt2	0.118182838	265.086095	20.36666667				
Zfp429	0.12004776	0.77450719	20.30769231				
Dlgap5	0.10956461	2.22482536	20.23809524				
Zfp687	0.099968587	253.391995	20.20833333				
Ern1	0.06366638	1.5123442	20.1				
Auts2	0.093919943	154.249578	20				
Fam64a	0.06263702	0.89344172	19.83333333				
Troap	0.07847702	3.08212607	19.83333333				
Sf3b1	1.07122908	159.812065	19.74747475				
Nmi	0.04938411	3.62698894	19.71428571				
Npm1	0.94417033	2.83740194	19.71428571				
Tle4	0.02665622	0.82598445	19.71428571				
Dtx4	0.145910244	144.655585	19.64935065				
Mdc1	0.12361611	22.33221282	19.6				
Btbd7	0.05061237	3.3185615	19.59375				
Zfp382	0.24810053	106.2668456	19.53061224				
Aspm	0.03090293	0.18956319	19.48717949				
Pih1d2	0.01434314	0.13189136	19.42307692				
Plxnc1	0.0316599	1.08060867	19.23809524				
Zbtb3	0.07496607	1.24589173	19.23809524				
Chac1	0.11240418	1.25232536	19.22461538				
Gmnn	0.07429809	0.56540875	19.16911765				
Kif20b	0.08737676	0.73339157	19.12781955				
Iqgap3	0.07765904	1.84652405	19.04411765				
1700001L05Rik	0.02261974	0.52606917	19				
Cep152	0.071226895	67.0278463	18.9375				
Psma7	1.38320809	4.61789261	18.88888889				
Spata7	0.0444937	0.37071532	18.7254902				
Steap3	0.27981743	8.44476348	18.71923077				
Aurka	0.09871262	1.68392121	18.67045455				
Melk	0.13183898	1.19764843	18.58241758				
Prr11	0.10465397	0.76147585	18.41666667				
Kif20a	0.09973417	1.60465653	18.35294118				
Aldh1a3	0.124227078	51.1632468	18.2				
Arvcf	0.087030059	177.001067	18.08270677				
Gja4	0.003509284	0.258949768	18				
Tmbim6	3.01878634	14.13419401	18				
Ascl2	0.016394334	18.9295794	17.91666667				
Ncaph	0.09072672	0.67479934	17.909699				
Kif18a	0.28587401	9.39563533	17.80952381				
Timm17a	1.6383856	49.52467292	17.66666667				
Ilk	1.54176555	28.57123928	17.59259259				
Etfb	1.03572076	12.65838843	17.55384615				
Ncapd2	0.19459207	5.83119164	17.53684211				
Gcnt4	0.15722489	11.59532651	17.50595238				
Map4k2	0.061687272	33.8207693	17.4125				
2310022B05Rik	1.6928626	272.864848	17.33333333				
Mme	0.05017362	0.86747006	17.22857143				
Ccnd2	1.27253635	29.89053403	17.19753086				
Zfp362	0.13300947	12.20037142	17.18181818				
Sept7	2.51466035	385.0349628	17.16666667				
1700086O06Rik	0.07444611	0.90259275	17.15				
Rasal2	0.1279633	0.81337004	17.11956522				
Dis3l2	0.03660353	5.69198371	16.96				
Pcx	0.03057899	0.90382206	16.96				
Adrb2	0.06065343	2.77424218	16.83333333				
Bach1	0.21529042	74.42682311	16.6025641				
Eif3c	1.11933647	7.1494448	16.6025641				
Mdfi	0.14709856	45.86888924	16.41269841				
Entpd2	0.02687526	0.45264835	16.4				
Tpr	1.02678113	3.92639976	16.39215686				
Slc27a3	0.05053948	0.47862882	16.33928571				
Wwc1	0.09838096	18.13811683	16.33333333				
Mis18bp1	0.108394	2.92595381	16.32388664				
Brd1	0.063577195	27.8732941	16.11111111				
Zbtb2	0.11702261	2.62558213	16.07692308				
Eno3	0.08421257	1.24039687	16.05882353				
Samd14	0.192054099	122.475764	15.95934959				
Tlk2	0.16235688	21.62039723	15.87719298				
Hsp90b1	1.47971052	20.63396844	15.859375				
P2ry2	0.02121047	0.15413103	15.75				
Brca2	0.15538886	3.96848647	15.625				
Sgol1	0.09063589	1.15720833	15.60150376				
BC068281	0.03587019	1.09657675	15.6				
Plcg2	0.03602139	0.51053861	15.58441558				
Psma2	1.53527822	5.45149666	15.58441558				
Cct5	1.33259565	39.99582346	15.58333333				
Atf3	0.018672501	3.78380833	15.55555556				
Anln	0.13401873	2.422588	15.45641026				
Cdkn3	0.10325348	1.95996812	15.45079365				
Syne2	0.05353206	1.52415452	15.4				
Psap	1.21968309	4.69794249	15.3030303				
Syngr1	0.065718917	96.179857	15.3030303				
Hey1	0.00593422	0.10296197	15.28571429				
Nedd8	1.46893645	9.92697352	15.28571429				
Ndc80	0.0322866	0.24495837	15.28282828				
Nop56	0.4987278	1.72656602	15.1575				
Fastkd5	0.37126017	70.53545246	15.12605042				
Cd164	2.58985655	600.7397405	15.07142857				
Arhgap19	0.10049395	57.64765481	15				
Eif3a	0.82904509	3.48260657	15				
Ncoa7	0.18614027	59.27006791	15				
Tacc3	0.168296	4.13728349	15				
Igfbp3	0.122415097	199.430837	14.94642857				
Pop1	0.023340209	2.48881761	14.85714286				
Pbx2	0.12206615	12.98991966	14.84375				
Tsc22d1	1.70466483	169.1498973	14.83636364				
Edn1	0.031183	6.32009812	14.775				
Traip	0.19570619	34.76187501	14.76923077				
Accs	0.074527092	118.031092	14.57142857				
Gtse1	0.19473282	2.16900216	14.555				
Erp29	1.1729113	6.46540126	14.52631579				
Atxn2	0.14912256	1.56789226	14.475				
2610035D17Rik	0.0641953	4.6132107	14.42857143				
Tubb6	1.0412225	3.86579519	14.42857143				
AI414108	0.04506028	0.65191916	14.4				
Plcl2	0.02251475	0.97120835	14.33333333				
Chek1	0.13725087	30.53812044	14.31547619				
Net1	0.070160189	69.8075739	14.28571429				
Cmtm4	0.247168	65.64231488	14.2755418				
Cdk1	0.246007412	15.832103	14.25925926				
Csf2ra	0.101192434	80.510583	14.21428571				
Cdyl2	0.03630331	0.50816816	14.18181818				
Slc16a11	0.119383899	104.765516	14.14035088				
Eno1	0.50588736	1.37944096	14.13793103				
Ppp2r5a	0.26514612	27.00502826	14.08235294				
Brip1	0.11283127	8.09958748	14.08				
Phf19	0.02646313	1.34824391	14.06666667				
Ankzf1	0.38396398	66.1688967	13.98857143				
Spc24	0.11535512	1.05293623	13.97959184				
Hdac4	0.30578839	7.19947092	13.96428571				
Cap1	1.26145314	11.41320056	13.90625				
Chaf1a	0.24869659	24.56863269	13.87394958				
Kars	1.21060303	12.45122579	13.82375479				
Eif4g1	1.20397054	4.93644243	13.66666667				
Nsl1	0.13474821	3.39428193	13.62679426				
Jag1	0.90232933	105.3950588	13.62403101				
Incenp	0.1820894	3.78807477	13.58409091				
Nsfl1c	0.81732923	132.4044522	13.57575758				
Zfp438	0.0781274	4.05045902	13.56818182				
Col7a1	0.22860748	60.56609209	13.55218855				
Cobl	0.04404345	1.82033672	13.53333333				
Hspa9	1.5128342	53.86538491	13.4				
Pms2	0.174389424	429.962811	13.38461538				
Hspa4	1.11139502	5.73304269	13.33680556				
Runx1t1	0.08365679	1.01961745	13.31372549				
Anxa2	1.93194163	24.31544626	13.3125				
Ahdc1	0.05629635	0.33787573	13.28671329				
Etfa	1.61206345	12.5313867	13.23529412				
Psmc3	1.00252767	3.59933835	13.23529412				
Lmod1	0.40113975	11.24887243	13.22222222				
Spef1	0.09126583	2.05653938	13.20710059				
Trib3	0.18725621	7.15325809	13.18666667				
Cdca8	0.20926075	3.86025988	13.14909091				
Dpp3	0.91212126	27.85633245	13.14814815				
Lig1	0.20071943	2.01212671	13.13793103				
Trdmt1	0.098628998	71.7485411	13.125				
Ik	0.83820551	3.70081559	13.03703704				
Samm50	0.81501134	1.92109543	13.03686636				
Kazn	0.04797068	12.70978781	12.95238095				
Nkiras1	0.04001889	1.13290935	12.95238095				
Snx32	0.11887507	0.94953863	12.93333333				
Limch1	0.080153676	37.1068046	12.87878788				
Herc4	0.13694238	1.83612144	12.85625				
Nop58	1.05682513	14.11159537	12.76201373				
Taf6l	0.3014766	150.5306626	12.7535014				
Hspa8	1.03835845	3.34668747	12.75				
Zkscan14	0.04078203	2.49163156	12.75				
Aen	0.43283448	1.10205034	12.73139746				
Fahd2a	0.06428961	0.61599845	12.7037037				
Cdca7l	0.14456978	5.3256634	12.66666667				
Cttn	1.61326824	820.090378	12.62962963				
Ascc1	0.37496124	2.17974779	12.53488372				
Slc12a4	0.55953789	3.703836	12.50362319				
Vps33b	0.20578864	25.04064157	12.46666667				
Uchl1	0.01303834	0.34654765	12.375				
Adk	1.20736595	172.578498	12.33333333				
Hdlbp	1.35975898	5.097396	12.3030303				
Nhlrc1	0.0741858	1.24474048	12.3030303				
D16Ertd472e	0.24002285	1.49035336	12.3015873				
Esco2	0.02403438	0.41379725	12.27857143				
Dscc1	0.03437245	0.34451203	12.25396825				
Zfp846	0.10081138	36.30921786	12.25396825				
Rad51ap1	0.03267719	0.54262104	12.2				
Slc12a6	0.09508615	1.46440557	12.1875				
Tatdn3	0.15310053	65.60401264	12.18269231				
Tpx2	0.27936645	17.15857329	12.16722408				
Puf60	0.64961837	3.03182889	12.03663004				
Sars	0.69212716	2.16634111	12.03292181				
1810009A15Rik	1.22435318	29.45680393	12.01298701				
Gm10033	0.02861623	0.37067147	12				
Xkr5	0.03882623	0.32350706	11.9375				
Foxm1	0.129666916	35.7698988	11.92982456				
Dhfr	0.11119971	36.3110527	11.925				
Aebp1	1.08085698	6.248028	11.88888889				
Racgap1	0.12259128	0.82030358	11.87096774				
Setbp1	0.03763683	1.34081479	11.8452381				
Rsbn1l	0.14516166	4.51464695	11.8125				
Zfp1	0.28989436	0.97806478	11.80555556				
Atp10d	0.01838768	2.69761556	11.76923077				
Eri2	0.11438737	46.93562852	11.75				
Mcm5	0.215708	3.5816211	11.74825175				
Hspa5	1.23437049	14.36867932	11.66666667				
P4htm	0.01556929	0.65017551	11.66666667				
Pole	0.19294699	5.63795399	11.66666667				
Sdcbp	1.23627337	7.919867	11.66666667				
Ywhab	3.07064905	314.746841	11.61111111				
Mrpl17	1.3239247	387.817342	11.6				
Rhebl1	0.08027028	27.40326854	11.55789474				
Ewsr1	0.82692841	6.97802597	11.53246753				
Atg14	0.162136052	78.5541325	11.49350649				
Anpep	0.078888525	19.6859402	11.48387097				
Csrp1	0.96761918	4.40233711	11.44444444				
Syne1	0.48459953	133.5183416	11.39350913				
Dtl	0.19422419	67.63698266	11.38636364				
Srgap2	0.36916771	88.17113642	11.38509317				
Gsg2	0.08225413	2.22315364	11.36666667				
Eif6	1.24262033	37.17695225	11.34				
Palld	0.61742448	3.70136069	11.31481481				
Zwint	0.96907255	2.12166609	11.27160494				
Gpank1	0.14308228	8.99978187	11.26666667				
2310033P09Rik	0.07464105	1.55134027	11.25837321				
Usp1	0.09414122	0.98016578	11.24444444				
Ska1	0.04896791	0.83210001	11.24175824				
Lrch3	0.30054256	52.54400468	11.21848739				
Tln1	1.60175809	97.41523965	11.2				
Dynll2	0.6086373	1.86714748	11.17283951				
Cenpm	0.21255027	13.34828647	11.1577381				
Cdc20	0.13166725	6.61260676	11.10869565				
Eme1	0.01211893	0.0754398	11.1038961				
Zfp28	0.23230219	64.20428945	11.0625				
Tpmt	0.06297721	22.35782995	11.03571429				
D17Wsu104e	0.997521717	164.503169	10.96969697				
Ctsl	1.09120649	98.215394	10.93406593				
Mcm7	0.44626865	116.17989	10.90909091				
Cdca7	0.1687486	2.66999124	10.8907563				
Zfp229	0.0923136	0.91861533	10.88043478				
Oip5	0.04478541	0.23913826	10.87912088				
Depdc7	0.04547368	3.62841257	10.87428571				
Fam49a	0.12190371	1.42912564	10.87012987				
Pmpca	1.11800111	3.90549616	10.85				
Fam160b1	0.40693478	72.57245908	10.84143223				
Gsn	0.7182286	1.88173559	10.83597884				
Zfp945	0.18601867	4.56465937	10.81666667				
Espl1	0.08850867	1.31324247	10.77777778				
Txnrd2	0.08589145	1.30475622	10.76470588				
Npepps	1.13381977	3.76587964	10.71167048				
Adh1	0.00408558	0.13056108	10.7				
Mdk	0.00677627	0.54371002	10.7				
Psma6	2.25888053	35.97466301	10.7				
Flywch1	0.17694701	54.98981825	10.66666667				
Zrsr1	0.0656272	0.99337657	10.66666667				
Fam162a	1.16325404	147.9799574	10.63125				
Sgsm2	0.00201615	0.00953705	10.61111111				
Rnf31	0.03411048	0.12662691	10.55769231				
Fscn1	1.57511132	282.694261	10.55				
Fignl1	0.165097234	52.1404466	10.53				
Mrpl20	1.75184773	294.7276437	10.45				
Phlda3	1.44388681	272.613352	10.45				
Nudc	0.45457967	1.58180224	10.425				
Lonp1	0.8471172	43.42913208	10.30909091				
Tmed9	0.79734879	1.53548495	10.30909091				
Bbs10	0.04207914	3.82895357	10.30769231				
BC005561	0.0078321	0.05197453	10.28787879				
Nek2	0.07132463	0.82231959	10.26315789				
Slc29a2	0.01829284	0.28562898	10.25				
Timeless	0.24221832	13.45017795	10.25				
Egfl7	0.25588588	90.91180266	10.21180556				
Cct2	1.09866739	2.99401309	10.1978022				
Nucb1	1.03552073	67.37368671	10.19298246				
Fus	0.38751574	1.83784062	10.13183731				
Mrgpre	0.080493447	112.925794	10.125				
App	1.36027404	31.7036949	10.1				
Zfp101	0.05184211	1.82704083	10.1				
Srsf5	1.02074259	2.20461382	10.06666667				
AA987161	0.05066679	0.83759687	10.05050505				
Rapgef3	0.08014807	4.05546968	10.05050505				
Cdc37	1.19124999	8.85179227	10.02469136				
